[2025-07-24T02:25:19.573+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: TechAndUrbanGrowth.ingestion_urbanization_data manual__2025-07-24T02:25:12.724720+00:00 [queued]>
[2025-07-24T02:25:19.609+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: TechAndUrbanGrowth.ingestion_urbanization_data manual__2025-07-24T02:25:12.724720+00:00 [queued]>
[2025-07-24T02:25:19.613+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-07-24T02:27:22.644+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para C, registros: 0
[2025-07-24T02:27:22.996+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para O, registros: 0
[2025-07-24T02:27:44.601+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para L, registros: 0
[2025-07-24T02:27:44.911+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:27:45.215+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para C, registros: 0
[2025-07-24T02:27:46.049+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para R, registros: 0
[2025-07-24T02:28:07.551+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para I, registros: 0
[2025-07-24T02:28:08.076+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:28:08.419+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para C, registros: 0
[2025-07-24T02:28:08.803+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para U, registros: 0
[2025-07-24T02:28:09.101+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para B, registros: 0
[2025-07-24T02:28:30.757+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:28:52.336+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para D, registros: 0
[2025-07-24T02:29:13.741+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para M, registros: 0
[2025-07-24T02:29:35.236+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para A, registros: 0
[2025-07-24T02:29:56.699+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:29:57.075+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para D, registros: 0
[2025-07-24T02:29:57.487+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para O, registros: 0
[2025-07-24T02:29:57.850+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para M, registros: 0
[2025-07-24T02:29:58.274+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:29:58.698+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para E, registros: 0
[2025-07-24T02:29:59.035+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para C, registros: 0
[2025-07-24T02:29:59.418+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para U, registros: 0
[2025-07-24T02:29:59.733+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:30:21.922+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para S, registros: 0
[2025-07-24T02:30:23.050+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para L, registros: 0
